stop_id,lat,lon,display_name
346,49.101894,6.188220,DUCROCQ
338,49.101336,6.188396,DUCROCQ
495,49.123674,6.203367,DUNANT
480,49.123912,6.202341,DUNANT
178,49.109431,6.189069,DUPLOYE
474,49.113730,6.202620,DURUTTE
460,49.113710,6.202610,DURUTTE
6340,49.093373,6.230112,GRANDES<br>ECOLES
6345,49.093373,6.230111,GRANDES<br>ECOLES
5026,49.058991,6.156305,LES<br>ECOLES
5011,49.058850,6.156548,LES<br>ECOLES
138,49.099076,6.173745,EGLISE
236,49.098724,6.173378,EGLISE
5054,49.131655,6.205405,ERABLES
5040,49.131326,6.205180,ERABLES
789,49.118285,6.096176,ERMITAGE
786,49.118339,6.096493,ERMITAGE
64,49.101840,6.158270,EUROPA<br>COURCELLES
39,49.102140,6.158850,EUROPA<br>COURCELLES
6350,49.091479,6.231423,P+R<br>FOIRE<br>EXPO
6355,49.091478,6.231423,P+R<br>FOIRE<br>EXPO
752,49.132878,6.252840,FALEE
753,49.133140,6.253600,FALEE
430,49.098031,6.240201,FALOGNE
428,49.098061,6.240259,FALOGNE
250,49.085410,6.182650,FAUBOURG
251,49.085047,6.182645,FAUBOURG
431,49.100494,6.243039,FAURNEL
427,49.099855,6.242892,FAURNEL
425,49.115093,6.240704,FEIVRES
426,49.114811,6.240075,FEIVRES
320,49.129290,6.137230,FELIX<br>MARECHAL
376,49.129169,6.137807,FELIX<br>MARECHAL
420,49.129490,6.138200,FELIX<br>MARECHAL
845,49.029107,6.096660,FEY<br>VILLAGE
841,49.029064,6.096633,FEY<br>VILLAGE
291,49.123970,6.165111,FORT<br>MOSELLE
265,49.124674,6.164548,FORT<br>MOSELLE
515,49.120700,6.148530,FOCH
229,49.120940,6.148440,FOCH
6020,49.149369,6.172123,DEUX<br>FONTAINES
6025,49.149369,6.172123,DEUX<br>FONTAINES
564,49.129600,6.235049,FONNY
562,49.129560,6.234880,FONNY
686,49.100456,6.145343,FOSSE
685,49.100239,6.145210,FOSSE
381,49.122548,6.218963,FOUGERES
375,49.121796,6.219060,FOUGERES
697,49.122430,6.183338,FOURNIER
696,49.122442,6.183439,FOURNIER
1008,49.118009,6.178726,EN<br>FOURNIRUE
622,49.171176,6.189698,FRANCLONCHAMPS
252,49.090622,6.181629,FRECOT
239,49.091320,6.181540,FRECOT
605,49.131715,6.211300,FRENES
5043,49.132258,6.211787,FRENES
